date,Tmin,Tmax,vent,pluie
27/12/2011,9,14,26,8.8
28/12/2011,7,15,15,25.1
29/12/2011,5,16,21,0
30/12/2011,11,15,44,2
31/12/2011,12,15,44,4.8
01/01/2012,12,17,24,1.5
02/01/2012,10,19,13,0
03/01/2012,11,16,37,2.7
04/01/2012,11,17,37,0.7
05/01/2012,12,16,42,0.7
06/01/2012,10,16,63,0
07/01/2012,10,15,37,1.5
08/01/2012,11,17,37,0
09/01/2012,9,16,31,0.2
10/01/2012,6,16,,2.2
11/01/2012,9,16,21,0.7
12/01/2012,7,17,16,0
13/01/2012,6,18,15,0
14/01/2012,8,15,,0
15/01/2012,10,17,22,0
16/01/2012,9,16,13,1.2
17/01/2012,9,13,16,0
18/01/2012,8,14,21,1
19/01/2012,8,15,13,0
20/01/2012,7,16,28,0
21/01/2012,11,18,41,0
22/01/2012,12,18,31,0
23/01/2012,12,18,24,0
24/01/2012,12,16,41,1
25/01/2012,11,15,31,0
26/01/2012,9,17,11,4
27/01/2012,7,17,21,0
28/01/2012,10,16,16,0
29/01/2012,9,17,13,0
30/01/2012,9,12,26,2
31/01/2012,8,13,16,27.4
01/02/2012,8,14,24,4.8
02/02/2012,6,19,21,0
03/02/2012,8,16,34,0
04/02/2012,5,10,26,4.3
05/02/2012,4,11,26,0
06/02/2012,4,10,37,0.5
07/02/2012,4,8,34,12.1
08/02/2012,4,12,26,2.5
09/02/2012,5,14,24,0
10/02/2012,8,13,31,0.2
11/02/2012,7,10,,0.5
12/02/2012,4,10,28,0
13/02/2012,1,12,21,0
14/02/2012,4,10,29,0.2
15/02/2012,4,13,31,1.5
16/02/2012,7,14,35,5
17/02/2012,9,15,,3.5
18/02/2012,7,17,15,1.5
19/02/2012,6,18,16,0
20/02/2012,10,17,15,0
21/02/2012,9,14,29,0
22/02/2012,9,14,41,28.7
23/02/2012,11,16,29,23.3
24/02/2012,10,17,,0
25/02/2012,7,17,16,0
26/02/2012,8,16,31,0
27/02/2012,9,16,35,0
28/02/2012,6,17,11,0
29/02/2012,5,19,,0
01/03/2012,8,18,22,0
02/03/2012,8,20,11,0
03/03/2012,9,20,28,0
04/03/2012,11,18,26,1
05/03/2012,11,16,31,0
06/03/2012,9,15,28,0.7
07/03/2012,9,14,24,0.5
08/03/2012,8,16,31,8.3
09/03/2012,10,15,31,0
10/03/2012,12,14,44,16.5
11/03/2012,10,14,37,4.5
12/03/2012,9,18,35,1.2
13/03/2012,11,18,37,0
14/03/2012,10,20,,0
15/03/2012,8,19,15,0
16/03/2012,6,21,,0
17/03/2012,8,25,21,0
18/03/2012,11,26,,0
19/03/2012,10,22,21,0
20/03/2012,11,21,28,0
21/03/2012,14,20,29,0
22/03/2012,12,19,28,0
23/03/2012,9,21,26,0
24/03/2012,11,21,,0
25/03/2012,12,19,29,0
26/03/2012,12,19,21,0
27/03/2012,12,22,15,0
28/03/2012,7,22,15,0
29/03/2012,6,23,16,0
30/03/2012,13,17,21,0
31/03/2012,11,23,16,0.2
01/04/2012,10,25,15,0
02/04/2012,14,24,31,0
03/04/2012,15,21,21,0
04/04/2012,13,21,,0
05/04/2012,13,22,,0.2
06/04/2012,13,23,22,1.7
07/04/2012,14,20,29,4
08/04/2012,12,19,39,0
09/04/2012,12,19,34,0
10/04/2012,8,24,29,0
11/04/2012,15,23,35,0
12/04/2012,12,23,28,0
13/04/2012,14,20,39,7.1
14/04/2012,14,21,42,0
15/04/2012,12,21,26,0.5
16/04/2012,11,17,31,7.1
17/04/2012,10,17,34,0.5
18/04/2012,9,22,28,3.8
19/04/2012,12,22,29,0
20/04/2012,12,22,34,1.2
21/04/2012,10,25,22,0
22/04/2012,12,27,16,0
23/04/2012,15,23,,6
24/04/2012,13,26,24,0
25/04/2012,16,25,29,0
26/04/2012,16,32,28,0
27/04/2012,13,28,26,0
28/04/2012,13,28,28,0
29/04/2012,18,23,26,0
30/04/2012,16,26,26,0.2
01/05/2012,14,23,26,0
02/05/2012,10,23,,0
03/05/2012,12,24,16,0
04/05/2012,14,27,29,0
05/05/2012,16,28,24,4.3
06/05/2012,18,29,35,0
07/05/2012,16,24,24,0
08/05/2012,14,24,22,0
09/05/2012,12,26,,0
10/05/2012,14,25,,0
11/05/2012,15,27,,0
12/05/2012,15,28,21,0
13/05/2012,17,31,41,0
14/05/2012,17,27,29,0
15/05/2012,16,26,26,0
16/05/2012,16,25,35,0
17/05/2012,15,24,28,0
18/05/2012,12,25,31,0
19/05/2012,18,28,31,1
20/05/2012,17,25,28,0
21/05/2012,16,25,44,0
22/05/2012,15,25,37,0
23/05/2012,17,22,34,0
24/05/2012,16,27,29,0
25/05/2012,17,27,,0
26/05/2012,16,28,22,0
27/05/2012,16,28,,0
28/05/2012,16,34,22,0
29/05/2012,18,26,22,0
30/05/2012,18,27,21,0
31/05/2012,16,30,21,0
01/06/2012,16,32,,0
02/06/2012,17,34,29,0
03/06/2012,22,34,34,0
04/06/2012,20,31,31,0.2
05/06/2012,20,29,34,0
06/06/2012,16,31,,0
07/06/2012,19,34,31,0
08/06/2012,21,37,37,0
09/06/2012,22,28,,0
10/06/2012,20,31,29,0
11/06/2012,19,35,22,0
12/06/2012,21,35,34,0
13/06/2012,20,28,24,0
14/06/2012,19,33,26,0
15/06/2012,21,34,29,0
16/06/2012,22,34,24,0
17/06/2012,22,31,,0
18/06/2012,19,35,21,0
19/06/2012,20,37,22,0
20/06/2012,21,38,,0
21/06/2012,23,35,28,0
22/06/2012,23,37,28,0
23/06/2012,20,34,,0
